city,state,country,faith,hiphop,latin,pop,rock
Albuquerque,NM,0.10339157142857144,0.006962000000000001,0.20196608333333332,0.011997,0.14675333333333335,0.04365568421052632
Anaheim,CA,0.10717722222222222,0.012833166666666665,0.27051645454545453,0.007394999999999999,0.2304385,0.02607129411764706
Asbury Park,NJ,0.007947285714285714,0.0,0.024425666666666665,0.0,0.022082800000000003,0.026799407407407407
Athens,GA,0.01248488235294118,0.0,0.07395,0.0,0.045995,0.0203730625
Baltimore,MD,0.04077588888888888,0.064185,0.10636117647058822,0.040139999999999995,0.036437411764705885,0.022700079999999997
Birmingham,AL,0.019583875,0.03750766666666667,0.05270242857142856,0.0,0.04501766666666667,0.024359380952380955
Boise,ID,0.04593,0.015314000000000001,0.030397333333333332,0.0,0.03738,0.03042745454545455
Buffalo,NY,0.053501333333333345,0.088713,0.19208466666666665,0.0,0.21192140000000004,0.019422695652173912
Cambridge,MA,0.004144,0.0,0.01358375,0.0,0.02935909090909091,0.017158411764705884
Charleston,SC,0.01762136363636364,0.0,0.0242495,0.0,0.023983,0.020439818181818184
Charlotte,NC,0.0539746052631579,0.0326546,0.13329336666666666,0.0935085,0.10885280000000001,0.0382991935483871
Cincinnati,OH,0.06072536363636361,0.033553,0.2417579090909091,0.012277,0.13792955555555556,0.05493145000000001
Cleveland,OH,0.016041666666666666,0.05326166666666667,0.09337124999999999,0.051297,0.07587700000000001,0.030305000000000006
Columbia,SC,0.017070882352941175,0.033910666666666665,0.049117499999999994,0.0,0.09451066666666667,0.076641
Columbus,OH,0.03583939393939394,0.03997425,0.09663459999999999,0.1431415,0.0795005,0.023609309523809515
Des Moines,IA,0.057578,0.09642300000000001,0.052159000000000004,0.0,0.06438566666666666,0.02784110526315789
Grand Rapids,MI,0.048419652173913044,0.048931,0.08542211764705883,0.080273,0.1097196,0.0521752
Greensboro,NC,0.0295804375,0.05403466666666667,0.11989483333333334,0.0,0.11909125000000001,0.032188071428571434
Greenville,SC,0.030475263157894734,0.035116,0.018468,0.0,0.0,0.024675799999999998
Indianapolis,IN,0.03514324999999997,0.036226666666666664,0.095468,0.008133,0.07774123076923077,0.027569025641025646
Jacksonville,FL,0.12989986666666664,0.05435820000000001,0.2554732222222222,0.0,0.043726,0.08768822222222222
Kansas City,MO,0.03369144827586207,0.05432399999999999,0.04831864285714286,0.0,0.14374623529411762,0.0408516
Knoxville,TN,0.03402830769230769,0.036262,0.11376900000000001,0.0,0.0,0.04402835294117646
Louisville,KY,0.03231747826086957,0.052404000000000006,0.0746488,0.007873,0.054251625,0.020453593750000002
Madison,WI,0.0202706,0.0,0.0143295,0.0,0.044266799999999995,0.03213528000000001
Memphis,TN,0.024191692307692306,0.05383466666666667,0.0577311,0.009132000000000001,0.109394,0.0125134
Mesa,AZ,0.036417000000000005,0.0,0.026844800000000002,0.0,0.030066000000000006,0.014037875
Milwaukee,WI,0.03892696000000001,0.06414,0.09203575,0.0014990000000000001,0.21379149999999997,0.029096970588235287
Morrison,CO,0.102024,0.0,0.1997122,0.0,0.21255319999999997,0.05474308
New Orleans,LA,0.029666199999999997,0.048931,0.0751299,0.0,0.16627235714285712,0.04263717777777776
Norfolk,VA,0.0361095,0.0317555,0.0391566875,0.0,0.04507714285714285,0.042474583333333336
Oakland,CA,0.420792,0.0,0.2649642799999999,0.10970899999999999,0.1038019375,0.03242216666666666
Oklahoma City,OK,0.08492639999999999,0.039971,0.09762664705882353,0.0,0.13218724999999998,0.037753764705882355
Omaha,NE,0.07201685714285713,0.08054750000000001,0.07405755555555554,0.012277,0.09858828571428571,0.030036518518518518
Orlando,FL,0.03597583333333334,0.024467000000000003,0.053790319999999996,0.039601,0.11379941666666665,0.029177481481481478
Phoenix,AZ,0.087200375,0.0078825,0.14175200000000004,0.10138833333333336,0.06819262499999999,0.03404274358974358
Pittsburgh,PA,0.0488569090909091,0.054762750000000006,0.1381955625,0.080273,0.14855518181818184,0.022514488372093022
Raleigh,NC,0.10581336363636362,0.048931,0.20488766666666663,0.031401,0.04111975,0.04369344444444444
Richmond,VA,0.010977599999999999,0.0,0.0497213,0.0,0.03475190909090909,0.01829111111111111
Rosemont,IL,0.04574686666666665,0.09642300000000001,0.423705,0.015372000000000002,0.379729,0.0
Sacramento,CA,0.06561733333333332,0.0478185,0.10945583333333332,0.0380085,0.08094306666666666,0.03166792307692308
San Antonio,TX,0.08726577777777779,0.055209,0.1431014375,0.063179,0.10450442857142857,0.028811892857142855
San Jose,CA,0.04126065,0.0,0.1899252,0.027153,0.17661766666666667,0.01860083333333333
Santa Ana,CA,0.0,0.0165465,0.06729811999999998,0.11076300000000001,0.050451,0.050309999999999994
Silver Spring,MD,0.022280300000000003,0.0,0.0879822105263158,0.014321,0.07453499999999999,0.0704432
Spokane,WA,0.029142875,0.080101,0.036801,0.0,0.0211925,0.040805499999999995
Springfield,MO,0.07596825,0.026842500000000002,0.043604000000000004,0.0,0.0,0.01159225
St Louis,MO,0.07159471428571426,0.04794475,0.09283782608695654,0.0,0.11080870000000001,0.028877511111111115
St. Paul,MN,0.1024209,0.007066,0.118763,0.0,0.1481613,0.02425884210526316
Tampa,FL,0.2127206,0.048931,0.2239303888888889,0.153793,0.33843624999999994,0.0694669642857143
Tucson,AZ,0.029174,0.005094,0.036936000000000004,0.012277,0.0573805,0.029806999999999993
Tulsa,OK,0.04527069230769231,0.048931,0.159386,0.0,0.35298416666666665,0.040723166666666664
