city,state,country,faith,hiphop,latin,pop,rock
Albuquerque,NM,0.2457070748221721,0.07220269022950956,0.4766667453377546,0.078007451574519,0.38646859558615054,0.4978511720752272
Anaheim,CA,0.2547035642840696,0.1330923811400461,0.6384547138821929,0.04808411306106258,0.6068498850496011,0.2973180828273194
Asbury Park,NJ,0.01888649431140733,0.0,0.057647813140431825,0.0,0.058154104637781166,0.30562151596016524
Athens,GA,0.029669961294276462,0.0,0.17453180868764825,0.0,0.12112585554434874,0.232335221124337
Baltimore,MD,0.09690271889410655,0.6656606826172179,0.2510264841589979,0.26100017556065613,0.09595635773066025,0.25887262194086624
Birmingham,AL,0.04654051170174338,0.388990870089778,0.12438472184993937,0.0,0.11855209021872617,0.2777953564921028
Boise,ID,0.10915131466377688,0.15882102817792434,0.07174173855237331,0.0,0.09843862333400925,0.3469959109028844
Buffalo,NY,0.12714436903109694,0.9200398245231945,0.45334529133870655,0.0,0.5580858981010143,0.22149719950932878
Cambridge,MA,0.0098480959714063,0.0,0.03205945174118786,0.0,0.07731590399756381,0.19567521532392917
Charleston,SC,0.04187666028908259,0.0,0.057232036440447956,0.0,0.0631581996634442,0.23309650559477602
Charlotte,NC,0.12826908606427379,0.33865986331062087,0.31459002529275476,0.6080153192928156,0.28665917009235536,0.4367655379228478
Cincinnati,OH,0.1443120678063357,0.34797714238304134,0.570580732091689,0.07982808060184793,0.36323155607171315,0.6264404569725569
Cleveland,OH,0.03812255619561842,0.5523751248837587,0.22036853471165077,0.3335457400531884,0.1998188181571595,0.34559943435961255
Columbia,SC,0.040568457463405136,0.35168649250351747,0.1159238149183984,0.0,0.24888977841214835,0.8740170351016353
Columbus,OH,0.08517128162938921,0.41457173081111354,0.22807047356061408,0.9307413211264491,0.20936114966199582,0.26924151186436496
Des Moines,IA,0.1368324492861081,1.0,0.12310215834129878,0.0,0.169556885743956,0.31750108004929206
Grand Rapids,MI,0.11506790094372765,0.5074619126142103,0.20160752799013187,0.5219548353956291,0.28894185063558486,0.5950080715261393
Greensboro,NC,0.0702970529382688,0.560391884370603,0.2829677094519379,0.0,0.31362168809861773,0.36707405638809076
Greenville,SC,0.07242358019614141,0.3641869678396233,0.0435869295854427,0.0,0.0,0.2814038119904611
Indianapolis,IN,0.08351691572083113,0.37570565805530487,0.22531714282342666,0.052882770997379584,0.2047281897596201,0.314398273135922
Jacksonville,FL,0.3087032706578705,0.5637472387293488,0.6029506902732377,0.0,0.11515054157043576,1.0
Kansas City,MO,0.08006675097402534,0.5633925515696461,0.11403840610128003,0.0,0.3785495321508698,0.4658732833751904
Knoxville,TN,0.08086728762026771,0.3760720989805337,0.2685099302580805,0.0,0.0,0.502101101212868
Louisville,KY,0.0768015510296526,0.5434802899723096,0.17618106937609895,0.051192186900574144,0.14286932259585125,0.23325360272632586
Madison,WI,0.04817249377364589,0.0,0.033819520657060925,0.0,0.11657471512578707,0.366472020821243
Memphis,TN,0.05749085607067698,0.5583176904542139,0.1362530534216023,0.05937851527702822,0.2880843970305139,0.14270331502773714
Mesa,AZ,0.0865439457023898,0.0,0.0633572886796238,0.0,0.0791775187041285,0.16008848901537517
Milwaukee,WI,0.09250879294283164,0.6651939889860302,0.21721657757165952,0.009746867542736015,0.5630107260704343,0.33182301854058394
Morrison,CO,0.2424570809330976,0.0,0.4713472817172325,0.0,0.5597497162450062,0.6242922779443331
New Orleans,LA,0.07050086503545694,0.5074619126142103,0.17731652918894042,0.0,0.4378711058224606,0.4862360839033239
Norfolk,VA,0.0858131808589517,0.32933532455949305,0.09241497622166367,0.0,0.11870871820994144,0.48438185034351505
Oakland,CA,1.0,0.0,0.6253508455175179,0.7133549641401102,0.27335794079461934,0.3697436878638205
Oklahoma City,OK,0.2018251297553185,0.4145380251599722,0.2304118362040182,0.0,0.3481094412067553,0.4305454455469013
Omaha,NE,0.17114597507285578,0.8353556724018129,0.17478565406486954,0.07982808060184793,0.25962801290995874,0.3425376607864057
Orlando,FL,0.08549552589719704,0.2537465127614781,0.12695228991869342,0.25749546468304796,0.29968587246869915,0.33274116799333664
Phoenix,AZ,0.20722916547843115,0.08174916772969104,0.3345535219079313,0.6592519382113188,0.1795823468842253,0.3882248120331531
Pittsburgh,PA,0.11610702934207184,0.5679428144737252,0.32615985768400185,0.5219548353956291,0.3912136861240038,0.2567561275793242
Raleigh,NC,0.2514623938581618,0.5074619126142103,0.4835620695216404,0.20417704316841465,0.10828709421719172,0.4982817912959297
Richmond,VA,0.02608794844008441,0.0,0.11734886300610095,0.0,0.0915176588854396,0.2085925640590273
Rosemont,IL,0.1087161036014626,1.0,1.0,0.09995253360035893,1.0,0.0
Sacramento,CA,0.15593769209807534,0.49592420895429506,0.258330284828674,0.2471406370901146,0.2131600869743071,0.36114226374289177
San Antonio,TX,0.20738459328546596,0.5725708596496686,0.3377383733965849,0.4108054332771972,0.2752079208367772,0.3285719806717812
